Date,Type,Link
2022-12-12 18:34:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008128728052461568
2022-12-12 15:40:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003786246174994433
2022-12-11 19:58:16,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007770499942395904
2022-12-11 18:17:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007688661492219904
2022-12-11 17:26:40,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7007722502252584960
2022-12-10 22:10:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006773355785711616
2022-12-10 19:37:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007388774993174529
2022-12-09 22:19:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7007100590870654976
2022-12-09 21:22:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007056639379816448
2022-12-09 20:07:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7007053227317768192
2022-12-09 09:48:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006886801596428288
2022-12-09 09:47:00,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7006589194160496640?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7006589194160496640%2C7006761559813218304%29
2022-12-09 09:46:33,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006775222536204288
2022-12-08 18:20:54,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7006589194160496640
2022-12-07 20:30:33,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006317576033058816
2022-12-07 17:08:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6996239910009503745
2022-12-07 09:13:28,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005567964452163584
2022-12-06 08:11:40,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005800563275665408
2022-12-06 05:42:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005509287166799873
2022-12-06 05:38:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005754376938029058
2022-12-05 22:29:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005599851774111745
2022-12-05 22:29:36,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005576476095885312
2022-12-05 21:55:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005640001312960512
2022-12-05 14:41:10,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7004969717132111873
2022-12-05 14:40:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005535153427025922
2022-12-05 11:57:28,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7004907020575215616
2022-12-04 20:45:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005213353253998592?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7005213353253998592%2C7005236417022824448%29
2022-12-04 15:24:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005188899606024192
2022-12-03 20:06:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7004896090214797312
2022-12-02 19:34:33,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7004523834196336640
2022-12-01 14:19:22,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7004082050852909056
2022-12-01 12:27:39,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7004056763947737088
2022-12-01 00:01:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003852874757619712
2022-11-30 11:42:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003683567293612032
2022-11-30 11:35:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003662704410300417
2022-11-30 11:35:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003211303515254784
2022-11-30 11:35:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003615089807273984
2022-11-30 11:34:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003636039013560320
2022-11-30 11:32:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003659031886073856
2022-11-30 05:40:14,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003155393765879808?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7003155393765879808%2C7003496722958069760%29
2022-11-29 22:53:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001122232571674624
2022-11-29 22:30:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003329735023808512
2022-11-29 22:30:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001847211575631872
2022-11-29 17:00:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003389093791358976
2022-11-29 16:25:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003386186140426240
